file, segment, start, end, dur, filedur, mean_intensity
engl310_01_20min,in,46.416,46.836,0.420,1200.470,56.369,
engl310_01_20min,um,46.836,47.556,0.720,1200.470,72.935,
engl310_01_20min,cl,47.556,47.605,0.049,1200.470,61.204,
engl310_01_20min,pau,47.605,47.732,0.127,1200.470,42.879,
engl310_01_20min,uh,47.732,48.132,0.400,1200.470,67.334,
engl310_01_20min,np,48.132,48.824,0.692,1200.470,76.027,
engl310_01_20min,uh,48.824,49.251,0.427,1200.470,75.123,
engl310_01_20min,np,49.251,51.326,2.075,1200.470,79.855,
engl310_01_20min,in,51.326,51.724,0.398,1200.470,59.437,
engl310_01_20min,uh,51.724,52.205,0.481,1200.470,82.580,
engl310_01_20min,other: sniff,52.205,52.447,0.242,1200.470,58.579,
engl310_01_20min,pau,52.447,53.038,0.591,1200.470,44.875,
engl310_01_20min,lip,53.038,53.107,0.069,1200.470,54.108,
engl310_01_20min,np,53.107,55.395,2.287,1200.470,82.162,
engl310_01_20min,pau,55.395,55.520,0.125,1200.470,60.159,
engl310_01_20min,np,55.520,56.527,1.007,1200.470,81.640,
engl310_01_20min,pau,56.527,57.486,0.959,1200.470,49.129,
engl310_01_20min,cl,57.486,57.560,0.074,1200.470,67.332,
engl310_01_20min,uh,57.560,57.974,0.413,1200.470,80.242,
engl310_01_20min,in,57.974,58.406,0.432,1200.470,57.267,
engl310_01_20min,np,58.406,59.350,0.944,1200.470,81.211,
engl310_01_20min,pau,59.350,59.428,0.078,1200.470,48.232,
engl310_01_20min,np,59.428,60.712,1.284,1200.470,79.936,
engl310_01_20min,uh,60.712,61.097,0.386,1200.470,78.489,
engl310_01_20min,np,61.097,62.063,0.966,1200.470,79.557,
engl310_01_20min,pau,62.063,62.489,0.426,1200.470,50.530,
engl310_01_20min,np,62.489,65.078,2.589,1200.470,78.609,
engl310_01_20min,in,65.078,65.437,0.359,1200.470,56.775,
engl310_01_20min,uh,65.437,65.986,0.550,1200.470,77.593,
engl310_01_20min,np,65.986,66.240,0.254,1200.470,74.979,
engl310_01_20min,pau,66.240,66.491,0.251,1200.470,50.730,
engl310_01_20min,np,66.491,67.916,1.425,1200.470,80.086,
engl310_01_20min,pau,67.916,68.121,0.205,1200.470,53.234,
