file, segment, start, end, dur, filedur, mean_intensity
Track15_noNarrator,pau,78.101,78.144,0.043,358.182,30.391,
Track15_noNarrator,in,78.144,78.690,0.545,358.182,42.220,
Track15_noNarrator,pau,78.690,78.742,0.052,358.182,28.393,
Track15_noNarrator,np,78.742,82.204,3.462,358.182,79.290,
Track15_noNarrator,pau,82.204,83.264,1.060,358.182,29.466,
Track15_noNarrator,np,83.264,83.740,0.476,358.182,78.382,
Track15_noNarrator,uh,83.740,84.024,0.284,358.182,80.356,
Track15_noNarrator,np,84.024,88.255,4.231,358.182,80.023,
Track15_noNarrator,pau,88.255,88.446,0.191,358.182,34.362,
Track15_noNarrator,np,88.446,91.123,2.677,358.182,79.458,
Track15_noNarrator,pau,91.123,91.189,0.066,358.182,41.477,
Track15_noNarrator,in,91.189,92.474,1.285,358.182,37.817,
Track15_noNarrator,pau,92.474,92.523,0.049,358.182,40.716,
Track15_noNarrator,um,92.523,92.841,0.319,358.182,81.658,
Track15_noNarrator,pau,92.841,92.919,0.078,358.182,39.227,
Track15_noNarrator,ex,92.919,93.387,0.468,358.182,70.994,
Track15_noNarrator,np,93.387,93.745,0.358,358.182,79.516,
Track15_noNarrator,pau,93.745,93.807,0.062,358.182,33.364,
Track15_noNarrator,uh,93.807,94.039,0.232,358.182,76.199,
Track15_noNarrator,np,94.039,95.607,1.569,358.182,79.051,
Track15_noNarrator,in,95.607,95.980,0.373,358.182,42.313,
Track15_noNarrator,pau,95.980,96.040,0.060,358.182,33.548,
Track15_noNarrator,uh,96.040,96.331,0.291,358.182,78.149,
Track15_noNarrator,pau,96.331,96.405,0.075,358.182,37.547,
Track15_noNarrator,np,96.405,99.692,3.287,358.182,78.861,
Track15_noNarrator,pau,99.692,99.752,0.060,358.182,34.826,
Track15_noNarrator,np,99.752,101.266,1.513,358.182,77.452,
Track15_noNarrator,pau,101.266,101.314,0.049,358.182,29.564,
Track15_noNarrator,in,101.314,101.914,0.599,358.182,38.606,
Track15_noNarrator,pau,101.914,101.958,0.044,358.182,32.710,
Track15_noNarrator,uh,101.958,102.233,0.275,358.182,76.380,
Track15_noNarrator,np,102.233,104.366,2.133,358.182,79.054,
Track15_noNarrator,pau,104.366,104.447,0.081,358.182,30.249,
Track15_noNarrator,uhm,104.447,104.862,0.415,358.182,78.775,
Track15_noNarrator,ex,104.862,105.135,0.273,358.182,49.980,
Track15_noNarrator,np,105.135,107.168,2.033,358.182,78.508,
Track15_noNarrator,pau,107.168,107.197,0.029,358.182,31.997,
Track15_noNarrator,in,107.197,107.720,0.523,358.182,40.836,
Track15_noNarrator,pau,107.720,107.756,0.036,358.182,29.805,
Track15_noNarrator,um,107.756,108.307,0.551,358.182,80.511,
Track15_noNarrator,np,108.307,110.476,2.169,358.182,79.226,
Track15_noNarrator,pau,110.476,110.576,0.100,358.182,31.158,
Track15_noNarrator,uh,110.576,111.145,0.569,358.182,78.221,
Track15_noNarrator,np,111.145,112.460,1.315,358.182,77.460,
Track15_noNarrator,pau,112.460,112.638,0.178,358.182,22.537,
Track15_noNarrator,in,112.638,113.015,0.378,358.182,42.987,
Track15_noNarrator,pau,113.015,113.062,0.047,358.182,32.226,
Track15_noNarrator,um,113.062,113.487,0.425,358.182,79.087,
Track15_noNarrator,np,113.487,114.619,1.132,358.182,77.079,
Track15_noNarrator,pau,114.619,114.659,0.041,358.182,28.722,
Track15_noNarrator,in,114.659,115.136,0.476,358.182,37.440,
Track15_noNarrator,uh,115.136,115.491,0.356,358.182,79.626,
Track15_noNarrator,np,115.491,119.004,3.512,358.182,79.822,
Track15_noNarrator,in,119.004,119.610,0.606,358.182,38.010,
Track15_noNarrator,pau,119.610,119.678,0.068,358.182,21.437,
Track15_noNarrator,um,119.678,120.154,0.476,358.182,80.674,
Track15_noNarrator,ex,120.154,120.471,0.318,358.182,55.539,
Track15_noNarrator,np,120.471,122.621,2.150,358.182,80.835,
Track15_noNarrator,uh,122.621,123.007,0.386,358.182,77.825,
Track15_noNarrator,np,123.007,124.822,1.815,358.182,78.259,
Track15_noNarrator,in,124.822,125.324,0.502,358.182,40.222,
Track15_noNarrator,pau,125.324,125.372,0.049,358.182,34.173,
Track15_noNarrator,np,125.372,127.787,2.415,358.182,79.288,
Track15_noNarrator,in,127.787,128.215,0.428,358.182,38.947,
Track15_noNarrator,pau,128.215,128.270,0.055,358.182,25.906,
Track15_noNarrator,uh,128.270,128.629,0.359,358.182,79.452,
Track15_noNarrator,np,128.629,131.261,2.632,358.182,78.618,
Track15_noNarrator,pau,131.261,131.345,0.084,358.182,33.882,
Track15_noNarrator,np,131.345,133.070,1.725,358.182,76.124,
Track15_noNarrator,pau,133.070,133.889,0.818,358.182,18.307,
Track15_noNarrator,np,133.889,134.479,0.591,358.182,77.662,
Track15_noNarrator,pau,134.479,134.539,0.060,358.182,31.781,
Track15_noNarrator,np,134.539,137.817,3.278,358.182,78.076,
Track15_noNarrator,in,137.817,138.323,0.506,358.182,39.898,
Track15_noNarrator,pau,138.323,138.370,0.047,358.182,28.278,
Track15_noNarrator,um,138.370,138.752,0.382,358.182,78.137,
Track15_noNarrator,pau,138.752,138.793,0.041,358.182,39.357,
Track15_noNarrator,np,138.793,139.118,0.326,358.182,79.746,
Track15_noNarrator,pau,139.118,139.246,0.128,358.182,34.771,
Track15_noNarrator,np,139.246,140.235,0.989,358.182,79.256,
Track15_noNarrator,uh,140.235,140.415,0.180,358.182,79.718,
Track15_noNarrator,np,140.415,143.071,2.656,358.182,77.843,
Track15_noNarrator,in,143.071,143.338,0.267,358.182,41.300,
Track15_noNarrator,np,143.338,145.616,2.277,358.182,77.860,
Track15_noNarrator,pau,145.616,146.098,0.483,358.182,23.023,
Track15_noNarrator,in,146.098,146.435,0.337,358.182,43.793,
Track15_noNarrator,pau,146.435,146.515,0.079,358.182,24.774,
Track15_noNarrator,np,146.515,146.819,0.305,358.182,80.142,
Track15_noNarrator,uh,146.819,147.186,0.366,358.182,78.430,
Track15_noNarrator,np,147.186,149.983,2.797,358.182,79.277,
Track15_noNarrator,pau,149.983,150.031,0.049,358.182,40.581,
Track15_noNarrator,np,150.031,152.045,2.014,358.182,75.995,
Track15_noNarrator,in,152.045,152.677,0.632,358.182,43.903,
Track15_noNarrator,pau,152.677,152.724,0.047,358.182,31.306,
Track15_noNarrator,um,152.724,153.157,0.433,358.182,77.569,
Track15_noNarrator,pau,153.157,153.186,0.029,358.182,34.998,
Track15_noNarrator,np,153.186,155.510,2.324,358.182,77.862,
Track15_noNarrator,uh,155.510,155.833,0.322,358.182,78.869,
Track15_noNarrator,np,155.833,157.642,1.809,358.182,80.662,
Track15_noNarrator,in,157.642,158.081,0.439,358.182,46.997,
Track15_noNarrator,pau,158.081,158.112,0.031,358.182,38.394,
Track15_noNarrator,np,158.112,160.674,2.562,358.182,79.428,
