"file","segment","start","end","dur","filedur","mean_intensity","nsyll","npause","dur(s)","phonationtime(s)","speechrate(nsyll/dur)","articulationrate(nsyll/phonationtime)","ASD(speakingtime/nsyll)","nrFP","tFP(s)","pints","pintsrate","speaker","session"
"engl310_01_20min","cl",23.813,23.87,0.057,1200.47,"52.925",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",23.87,24.075,0.204,1200.47,"76.547",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",25.902,26.042,0.14,1200.47,"60.946",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",26.042,26.353,0.311,1200.47,"52.900",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",26.353,26.505,0.151,1200.47,"52.965",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",27.243,27.512,0.269,1200.47,"76.516",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",28.35,29.377,1.027,1200.47,"45.621",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","cl",29.377,29.491,0.114,1200.47,"66.848",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",29.491,29.97,0.479,1200.47,"81.649",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",29.97,30.129,0.16,1200.47,"46.525",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",30.454,30.659,0.205,1200.47,"83.237",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",30.659,31.161,0.502,1200.47,"54.998",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",32.432,32.859,0.427,1200.47,"79.331",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",34.961,35.138,0.178,1200.47,"77.269",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","ex",36.426,36.967,0.541,1200.47,"49.473",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","cl",36.967,37.077,0.11,1200.47,"70.558",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",37.077,37.492,0.416,1200.47,"59.282",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",37.492,37.741,0.249,1200.47,"80.533",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","ex",38.746,39.197,0.451,1200.47,"52.285",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",39.197,39.714,0.517,1200.47,"62.800",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",39.714,40.252,0.539,1200.47,"84.099",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",40.252,40.429,0.177,1200.47,"50.931",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",40.954,41.209,0.255,1200.47,"80.896",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",41.209,41.287,0.078,1200.47,"49.039",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",41.287,41.651,0.364,1200.47,"53.788",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",41.651,41.898,0.247,1200.47,"49.692",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",41.898,42.361,0.463,1200.47,"80.009",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","ex",42.361,42.701,0.341,1200.47,"68.405",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",42.701,42.983,0.282,1200.47,"55.262",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","ex",42.983,43.382,0.399,1200.47,"64.305",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",45.692,45.78,0.088,1200.47,"54.385",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",46.329,46.416,0.087,1200.47,"53.323",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",46.416,46.836,0.42,1200.47,"56.369",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","um",46.836,47.556,0.72,1200.47,"72.935",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","cl",47.556,47.605,0.049,1200.47,"61.204",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",47.605,47.732,0.127,1200.47,"42.879",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",47.732,48.132,0.4,1200.47,"67.334",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",48.824,49.251,0.427,1200.47,"75.123",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",51.326,51.724,0.398,1200.47,"59.437",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",51.724,52.205,0.481,1200.47,"82.580",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","other",52.205,52.447,0.242,1200.47,"58.579",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",52.447,53.038,0.591,1200.47,"44.875",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","other",53.038,53.107,0.069,1200.47,"54.108",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",55.395,55.52,0.125,1200.47,"60.159",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",56.527,57.486,0.959,1200.47,"49.129",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","cl",57.486,57.56,0.074,1200.47,"67.332",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
