"file","segment","start","end","dur","filedur","mean_intensity","nsyll","npause","dur(s)","phonationtime(s)","speechrate(nsyll/dur)","articulationrate(nsyll/phonationtime)","ASD(speakingtime/nsyll)","nrFP","tFP(s)"
"engl310_01_20min","cl",47.556,47.605,0.049,1200.47,"61.204",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",47.605,47.732,0.127,1200.47,"42.879",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",47.732,48.132,0.4,1200.47,"67.334",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",48.132,48.824,0.692,1200.47,"76.027",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",48.824,49.251,0.427,1200.47,"75.123",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",49.251,51.326,2.075,1200.47,"79.855",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",51.326,51.724,0.398,1200.47,"59.437",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",51.724,52.205,0.481,1200.47,"82.580",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","other",52.205,52.447,0.242,1200.47,"58.579",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",52.447,53.038,0.591,1200.47,"44.875",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","other",53.038,53.107,0.069,1200.47,"54.108",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",53.107,55.395,2.287,1200.47,"82.162",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",55.395,55.52,0.125,1200.47,"60.159",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",55.52,56.527,1.007,1200.47,"81.640",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",56.527,57.486,0.959,1200.47,"49.129",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","cl",57.486,57.56,0.074,1200.47,"67.332",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",57.56,57.974,0.413,1200.47,"80.242",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",57.974,58.406,0.432,1200.47,"57.267",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",58.406,59.35,0.944,1200.47,"81.211",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",59.35,59.428,0.078,1200.47,"48.232",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",59.428,60.712,1.284,1200.47,"79.936",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",60.712,61.097,0.386,1200.47,"78.489",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",61.097,62.063,0.966,1200.47,"79.557",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",62.063,62.489,0.426,1200.47,"50.530",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",62.489,65.078,2.589,1200.47,"78.609",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",65.078,65.437,0.359,1200.47,"56.775",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",65.437,65.986,0.55,1200.47,"77.593",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",65.986,66.24,0.254,1200.47,"74.979",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",66.24,66.491,0.251,1200.47,"50.730",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",66.491,67.916,1.425,1200.47,"80.086",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",67.916,68.121,0.205,1200.47,"53.234",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","cl",68.121,68.171,0.05,1200.47,"56.957",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",68.171,68.327,0.156,1200.47,"45.018",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",68.327,68.783,0.456,1200.47,"82.009",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",68.783,69.194,0.411,1200.47,"58.831",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",69.194,69.359,0.166,1200.47,"75.467",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",69.359,70.299,0.94,1200.47,"83.722",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",70.299,70.762,0.462,1200.47,"59.913",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","um",70.762,71.174,0.413,1200.47,"80.520",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",71.174,74.611,3.436,1200.47,"77.764",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",74.611,75.14,0.53,1200.47,"47.239",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",75.14,75.592,0.451,1200.47,"81.187",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",75.592,76.174,0.582,1200.47,"48.367",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","cl",76.174,76.264,0.09,1200.47,"66.591",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",76.264,76.641,0.377,1200.47,"63.757",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",76.641,76.81,0.169,1200.47,"67.660",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",76.81,76.86,0.05,1200.47,"45.763",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",76.86,77.52,0.66,1200.47,"82.223",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",77.52,77.679,0.159,1200.47,"46.829",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",77.679,78.169,0.49,1200.47,"83.107",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",78.169,78.439,0.27,1200.47,"80.772",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",78.439,79.98,1.541,1200.47,"79.222",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
